course_id,course_name,course_slug,course_description,course_description_short,course_technology,course_topic,course_instructor_quote,section_id,section_name,section_description
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",data-visualization,"The Data Visualization course is designed for everyone looking to deepen their understanding of creating meaningful and compelling visualizations. Whether you’re coming from a business or data science-related field, knowledge in data visualization is both important and advantageous. That’s precisely why this course is centered not in just one, but four different environments: Excel, Tableau, Python, and R. Each section is dedicated to a specific type of chart – bar charts, pie charts, area charts, line charts and many more. In addition, there are lectures that specifically explore what to avoid when creating a certain graphic. You can stick with your preferred environment and follow each section. Or you could master all four environments and add indispensable skills to your data visualization toolset.","Teaching you how to master the art of creating and styling charts to achieve professional results. The course is based in four different technologies – Excel, Tableau, Python, and R – to complete your data visualization skillset.",python,data visualization,Data visualization is the face of data. Many people look at the data and see nothing. The reason for that is that they are not creating good visualizations. Or even worse – they are creating nice graphs but cannot interpret them accurately. This course will tackle both of these problems.,19,Scatter Plot,"In this section, you will learn how to create a scatter plot of real estate data. First, we’ll observe the relationship between California's real estate pricing and the area of properties. Then, you’ll make a scatter plot in Excel, Tableau Python, and R and finish the section with valuable tips on what makes a good scatter plot. "
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",data-visualization,"The Data Visualization course is designed for everyone looking to deepen their understanding of creating meaningful and compelling visualizations. Whether you’re coming from a business or data science-related field, knowledge in data visualization is both important and advantageous. That’s precisely why this course is centered not in just one, but four different environments: Excel, Tableau, Python, and R. Each section is dedicated to a specific type of chart – bar charts, pie charts, area charts, line charts and many more. In addition, there are lectures that specifically explore what to avoid when creating a certain graphic. You can stick with your preferred environment and follow each section. Or you could master all four environments and add indispensable skills to your data visualization toolset.","Teaching you how to master the art of creating and styling charts to achieve professional results. The course is based in four different technologies – Excel, Tableau, Python, and R – to complete your data visualization skillset.",python,data visualization,Data visualization is the face of data. Many people look at the data and see nothing. The reason for that is that they are not creating good visualizations. Or even worse – they are creating nice graphs but cannot interpret them accurately. This course will tackle both of these problems.,20,Combo Plots Part 1 - Regression Plot,"We’ll explore a combination chart of a scatter and a regression line by using marketing data and a regression line to quantify the relationship between a company’s advertising budget and its sales. You will learn how to create a regression scatter in Excel, Tableau, Python, and R, and discover different types of relationships between features in data. the model residuals can be beneficial in model selection."
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",data-visualization,"The Data Visualization course is designed for everyone looking to deepen their understanding of creating meaningful and compelling visualizations. Whether you’re coming from a business or data science-related field, knowledge in data visualization is both important and advantageous. That’s precisely why this course is centered not in just one, but four different environments: Excel, Tableau, Python, and R. Each section is dedicated to a specific type of chart – bar charts, pie charts, area charts, line charts and many more. In addition, there are lectures that specifically explore what to avoid when creating a certain graphic. You can stick with your preferred environment and follow each section. Or you could master all four environments and add indispensable skills to your data visualization toolset.","Teaching you how to master the art of creating and styling charts to achieve professional results. The course is based in four different technologies – Excel, Tableau, Python, and R – to complete your data visualization skillset.",python,data visualization,Data visualization is the face of data. Many people look at the data and see nothing. The reason for that is that they are not creating good visualizations. Or even worse – they are creating nice graphs but cannot interpret them accurately. This course will tackle both of these problems.,21,Combo Plots Part 2 - Bar and Line Chart,"In this section, we’ll create a combination chart with a dual-axis. Our data centers around data science and Python programmers and comes from the annual KD Nuggets survey. We’ll get a chance to delve deeper into each of the four software, as we learn how to create combination charts."
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",data-visualization,"The Data Visualization course is designed for everyone looking to deepen their understanding of creating meaningful and compelling visualizations. Whether you’re coming from a business or data science-related field, knowledge in data visualization is both important and advantageous. That’s precisely why this course is centered not in just one, but four different environments: Excel, Tableau, Python, and R. Each section is dedicated to a specific type of chart – bar charts, pie charts, area charts, line charts and many more. In addition, there are lectures that specifically explore what to avoid when creating a certain graphic. You can stick with your preferred environment and follow each section. Or you could master all four environments and add indispensable skills to your data visualization toolset.","Teaching you how to master the art of creating and styling charts to achieve professional results. The course is based in four different technologies – Excel, Tableau, Python, and R – to complete your data visualization skillset.",python,data visualization,Data visualization is the face of data. Many people look at the data and see nothing. The reason for that is that they are not creating good visualizations. Or even worse – they are creating nice graphs but cannot interpret them accurately. This course will tackle both of these problems.,22,Advanced Topics - Dashboard in Excel,"We’ll work on real-life data and create a dashboard in Excel. Our dashboard will center on creating a report for a large company operating in the FMCG sector. The star of the report will be the two custom filters, which will slice the data based on the period we’re interested in."
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",data-visualization,"The Data Visualization course is designed for everyone looking to deepen their understanding of creating meaningful and compelling visualizations. Whether you’re coming from a business or data science-related field, knowledge in data visualization is both important and advantageous. That’s precisely why this course is centered not in just one, but four different environments: Excel, Tableau, Python, and R. Each section is dedicated to a specific type of chart – bar charts, pie charts, area charts, line charts and many more. In addition, there are lectures that specifically explore what to avoid when creating a certain graphic. You can stick with your preferred environment and follow each section. Or you could master all four environments and add indispensable skills to your data visualization toolset.","Teaching you how to master the art of creating and styling charts to achieve professional results. The course is based in four different technologies – Excel, Tableau, Python, and R – to complete your data visualization skillset.",python,data visualization,Data visualization is the face of data. Many people look at the data and see nothing. The reason for that is that they are not creating good visualizations. Or even worse – they are creating nice graphs but cannot interpret them accurately. This course will tackle both of these problems.,23,Advanced Topics - Dashboard in Tableau,"In this section, we’ll rely on Tableau’s capabilities to create a dynamic report for a company based on real-world data. Our dashboard will include a custom time filter, as well as a brand filter and we’ll even devise our very own custom design template for the dashboard."
4,Introduction to R Programming,introduction-to-r-programming,"R is one of the best programming languages specifically designed for statistics and graphics. Programming in R is a fast and effective way to perform advanced data analyses and manipulations. In this course, you will learn how to use R and utilize the many data analysis techniques, methods, and functions it has to offer to the professional data scientist.","Providing you with the skills to manipulate, analyze, and visualize data with the best programming language for statistical analysis for data science.",r,programming,"Learning R programming is a valuable asset to get you where you want to be in your data science career. In this course, I have distilled years of experience in data analysis into a fast and effective training. I will be super proud and happy to share my R journey with you!",24,Introduction & Getting Started,"In this introductory part of the course, we will go for a walk in the R environment. First, we are going to install R and RStudio together. Then, we’ll dive straight into RStudio and learn about its interface, and how to make use of the main windows and tabs there. We will also talk about setting your working directory and getting additional help."
4,Introduction to R Programming,introduction-to-r-programming,"R is one of the best programming languages specifically designed for statistics and graphics. Programming in R is a fast and effective way to perform advanced data analyses and manipulations. In this course, you will learn how to use R and utilize the many data analysis techniques, methods, and functions it has to offer to the professional data scientist.","Providing you with the skills to manipulate, analyze, and visualize data with the best programming language for statistical analysis for data science.",r,programming,"Learning R programming is a valuable asset to get you where you want to be in your data science career. In this course, I have distilled years of experience in data analysis into a fast and effective training. I will be super proud and happy to share my R journey with you!",25,The building blocks of R,"In this section, you will learn about objects and coercion rules in R, functions in R, and how to use R’s console. Not only that, but by the end of the section, you will have built your first function; it will be able to draw cards from a deck, so you can play your favorite board game even if you don’t have the physical cards in front of you."
4,Introduction to R Programming,introduction-to-r-programming,"R is one of the best programming languages specifically designed for statistics and graphics. Programming in R is a fast and effective way to perform advanced data analyses and manipulations. In this course, you will learn how to use R and utilize the many data analysis techniques, methods, and functions it has to offer to the professional data scientist.","Providing you with the skills to manipulate, analyze, and visualize data with the best programming language for statistical analysis for data science.",r,programming,"Learning R programming is a valuable asset to get you where you want to be in your data science career. In this course, I have distilled years of experience in data analysis into a fast and effective training. I will be super proud and happy to share my R journey with you!",26,Vectors and vector operations,"Now that we have covered the basics, in this section, we are about to drill deeper into R’s most widely used object type – the vector. You will learn how to create vectors and how to perform vector arithmetic operations. You will also see how to index and access elements from a vector, and how vectors recycle. Then, you will see how to change the dimensions of a vector and create a two-dimensional object from it. That will be our nice little segue into matrices."
4,Introduction to R Programming,introduction-to-r-programming,"R is one of the best programming languages specifically designed for statistics and graphics. Programming in R is a fast and effective way to perform advanced data analyses and manipulations. In this course, you will learn how to use R and utilize the many data analysis techniques, methods, and functions it has to offer to the professional data scientist.","Providing you with the skills to manipulate, analyze, and visualize data with the best programming language for statistical analysis for data science.",r,programming,"Learning R programming is a valuable asset to get you where you want to be in your data science career. In this course, I have distilled years of experience in data analysis into a fast and effective training. I will be super proud and happy to share my R journey with you!",27,Matrices,"In this section, you will learn how to create and rename matrices, and how to index and slice matrices. All of this will lay a super solid foundation for the big star of data analysis: the data frame. Not only that, but we will also talk about factors, which are related to the statistics part of the course. Finally, we will cover lists: R’s way of storing hierarchical data."
4,Introduction to R Programming,introduction-to-r-programming,"R is one of the best programming languages specifically designed for statistics and graphics. Programming in R is a fast and effective way to perform advanced data analyses and manipulations. In this course, you will learn how to use R and utilize the many data analysis techniques, methods, and functions it has to offer to the professional data scientist.","Providing you with the skills to manipulate, analyze, and visualize data with the best programming language for statistical analysis for data science.",r,programming,"Learning R programming is a valuable asset to get you where you want to be in your data science career. In this course, I have distilled years of experience in data analysis into a fast and effective training. I will be super proud and happy to share my R journey with you!",28,Fundamentals Of Programming With R,"In this section of the course, we will go through some of the fundamental tools you need to learn when programming with R (and many other programming languages). We will cover relational operators, logical operators, vectors, IF, ELSE, and different types of loops (for, while, and repeat) in R. Some of these topics will have already been introduced to you in our Python training, but here you will have the chance to reinforce what you have learned and see things with R in mind.
"
4,Introduction to R Programming,introduction-to-r-programming,"R is one of the best programming languages specifically designed for statistics and graphics. Programming in R is a fast and effective way to perform advanced data analyses and manipulations. In this course, you will learn how to use R and utilize the many data analysis techniques, methods, and functions it has to offer to the professional data scientist.","Providing you with the skills to manipulate, analyze, and visualize data with the best programming language for statistical analysis for data science.",r,programming,"Learning R programming is a valuable asset to get you where you want to be in your data science career. In this course, I have distilled years of experience in data analysis into a fast and effective training. I will be super proud and happy to share my R journey with you!",29,Data frames in R,"In this section, we will focus our attention on how to create and import data frames into R. How to quickly get a sense of your data frame by using the str() function, summary(), col-and row-names, and so on. We’ll learn about accessing individual elements of your data frame for further use. And about extending a data frame with either new observations or variables (or row and columns). Furthermore, we will talk about dealing with missing data because in real life that happens more often than we’d like. And we’ll discuss exporting data frames once we’re happy with their general state and are ready to share them with the world."
4,Introduction to R Programming,introduction-to-r-programming,"R is one of the best programming languages specifically designed for statistics and graphics. Programming in R is a fast and effective way to perform advanced data analyses and manipulations. In this course, you will learn how to use R and utilize the many data analysis techniques, methods, and functions it has to offer to the professional data scientist.","Providing you with the skills to manipulate, analyze, and visualize data with the best programming language for statistical analysis for data science.",r,programming,"Learning R programming is a valuable asset to get you where you want to be in your data science career. In this course, I have distilled years of experience in data analysis into a fast and effective training. I will be super proud and happy to share my R journey with you!",30,Manipulating data with R,"Here, we will be talking about data transformation with the dplyr package. More specifically, how to filter(), arrange(), mutate(), and transmute() your data, as well as how to sample() fractions and a fixed number of elements from it. You will also learn what tidy data is, why it is extremely important for the efficiency of your work to tidy your data sets in the most meaningful way, and how to achieve this by using the tidyr package. You will be tidying several messy real-life data sets, and you will learn how to combine multiple operations in an intuitive way by using the pipe operator."
4,Introduction to R Programming,introduction-to-r-programming,"R is one of the best programming languages specifically designed for statistics and graphics. Programming in R is a fast and effective way to perform advanced data analyses and manipulations. In this course, you will learn how to use R and utilize the many data analysis techniques, methods, and functions it has to offer to the professional data scientist.","Providing you with the skills to manipulate, analyze, and visualize data with the best programming language for statistical analysis for data science.",r,programming,"Learning R programming is a valuable asset to get you where you want to be in your data science career. In this course, I have distilled years of experience in data analysis into a fast and effective training. I will be super proud and happy to share my R journey with you!",31,Visualizing data with R,"Plotting and graphing data is the most elegant way to understand your data and present your findings to others. In this section, we are going to learn about the grammar of graphics and the seven layers that comprise a visualization. Then, we will jump straight into creating graphs and plots, with the ggplot2 package. Starting with the histogram, we will continue on to the bar chart, then onto the box and whiskers plot, and finally, the scatterplot. You will notice that with each new type of plot, you will also be learning about a new layer or two while getting familiarized with ggplot2 and its inner workings in an incremental way."
4,Introduction to R Programming,introduction-to-r-programming,"R is one of the best programming languages specifically designed for statistics and graphics. Programming in R is a fast and effective way to perform advanced data analyses and manipulations. In this course, you will learn how to use R and utilize the many data analysis techniques, methods, and functions it has to offer to the professional data scientist.","Providing you with the skills to manipulate, analyze, and visualize data with the best programming language for statistical analysis for data science.",r,programming,"Learning R programming is a valuable asset to get you where you want to be in your data science career. In this course, I have distilled years of experience in data analysis into a fast and effective training. I will be super proud and happy to share my R journey with you!",32,Exploratory data analysis with R,"In this part of the course, we start applying R for statistical analysis. We are ready to discuss several exploratory data analysis topics: population vs. sample; mean, median, and mode; skewness; variance, standard deviation, and the coefficient of variability; and covariance and correlation."
4,Introduction to R Programming,introduction-to-r-programming,"R is one of the best programming languages specifically designed for statistics and graphics. Programming in R is a fast and effective way to perform advanced data analyses and manipulations. In this course, you will learn how to use R and utilize the many data analysis techniques, methods, and functions it has to offer to the professional data scientist.","Providing you with the skills to manipulate, analyze, and visualize data with the best programming language for statistical analysis for data science.",r,programming,"Learning R programming is a valuable asset to get you where you want to be in your data science career. In this course, I have distilled years of experience in data analysis into a fast and effective training. I will be super proud and happy to share my R journey with you!",33,Hypothesis Testing,"At this point, you are already familiar with hypothesis testing. We covered it in one of our earlier modules – Statistics. What we will do here is a natural continuation – you will learn how to carry out hypothesis testing in R."
4,Introduction to R Programming,introduction-to-r-programming,"R is one of the best programming languages specifically designed for statistics and graphics. Programming in R is a fast and effective way to perform advanced data analyses and manipulations. In this course, you will learn how to use R and utilize the many data analysis techniques, methods, and functions it has to offer to the professional data scientist.","Providing you with the skills to manipulate, analyze, and visualize data with the best programming language for statistical analysis for data science.",r,programming,"Learning R programming is a valuable asset to get you where you want to be in your data science career. In this course, I have distilled years of experience in data analysis into a fast and effective training. I will be super proud and happy to share my R journey with you!",34,Linear Regression Analysis in R,"Regression analysis is another topic we covered earlier in our program. As with hypothesis testing, this is a great opportunity to apply the theory you have learned previously in R."
5,Data Preprocessing with NumPy,data-preprocessing-numpy,"This course is designed to show you how to work with one of Python’s fundamental packages – NumPy. You will learn what a “package” is and see how to install, upgrade and import it. By the time you finish the course, you’ll be comfortable with NumPy’ ndarray class, how to slice and reduce the dimensions of its instances, as well as how to quickly refer to the documentation. Furthermore, you’ll be ready to take advantage of NumPy’s various built-in functions and methods, which we’ll use to generate random and non-random data, import and export data to and from Python, find statistical values for a dataset, and clean and preprocess ndarrays.",This course will guide you through one of Python’s most notable packages – NumPy. We’ll explain why it’s so popular and discuss the numerous applications of its crown jewel – the ndarray class.,python,data processing,"A large portion of a data analyst’s work is dedicated to preprocessing datasets. Unquestionably, this involves tons of mathematical and statistical techniques that NumPy is renowned for. NumPy can be described as a computationally stable state-of-the-art Python instrument that provides flexibility and can take your analysis to the next level.",35,Introduction to NumPy,"This introductory section presents the NumPy package and its applications. You’ll learn how to install and upgrade NumPy, before quickly learning about its most important assets – “arrays”. We’ll also go over how to use the documentation - an extremely useful component for our work later on in the course."
5,Data Preprocessing with NumPy,data-preprocessing-numpy,"This course is designed to show you how to work with one of Python’s fundamental packages – NumPy. You will learn what a “package” is and see how to install, upgrade and import it. By the time you finish the course, you’ll be comfortable with NumPy’ ndarray class, how to slice and reduce the dimensions of its instances, as well as how to quickly refer to the documentation. Furthermore, you’ll be ready to take advantage of NumPy’s various built-in functions and methods, which we’ll use to generate random and non-random data, import and export data to and from Python, find statistical values for a dataset, and clean and preprocess ndarrays.",This course will guide you through one of Python’s most notable packages – NumPy. We’ll explain why it’s so popular and discuss the numerous applications of its crown jewel – the ndarray class.,python,data processing,"A large portion of a data analyst’s work is dedicated to preprocessing datasets. Unquestionably, this involves tons of mathematical and statistical techniques that NumPy is renowned for. NumPy can be described as a computationally stable state-of-the-art Python instrument that provides flexibility and can take your analysis to the next level.",36,Why do we use NumPy?,This section follows NumPy’s role in the development of Python and takes a closer look at ndarrays. We discuss what makes them so useful and compare them to another similarly-looking data structure – NumPy lists.  
5,Data Preprocessing with NumPy,data-preprocessing-numpy,"This course is designed to show you how to work with one of Python’s fundamental packages – NumPy. You will learn what a “package” is and see how to install, upgrade and import it. By the time you finish the course, you’ll be comfortable with NumPy’ ndarray class, how to slice and reduce the dimensions of its instances, as well as how to quickly refer to the documentation. Furthermore, you’ll be ready to take advantage of NumPy’s various built-in functions and methods, which we’ll use to generate random and non-random data, import and export data to and from Python, find statistical values for a dataset, and clean and preprocess ndarrays.",This course will guide you through one of Python’s most notable packages – NumPy. We’ll explain why it’s so popular and discuss the numerous applications of its crown jewel – the ndarray class.,python,data processing,"A large portion of a data analyst’s work is dedicated to preprocessing datasets. Unquestionably, this involves tons of mathematical and statistical techniques that NumPy is renowned for. NumPy can be described as a computationally stable state-of-the-art Python instrument that provides flexibility and can take your analysis to the next level.",37,NumPy Fundamentals,"Here, we focus on the basic NumPy syntax. You’ll learn about “indexing” and the different ways of assigning values to an array. This section also explains the elementwise properties of arrays, as we go over the different types of data we can store in them. In addition, we’ll take a look at some of the most important characteristics and properties of NumPy functions."
